"Year","DS_Dur_WS","DS_Tim","DS_Mag_50","DS_Mag_90","FA_Dur","FA_Mag","FA_Tim","SP_ROC","SP_Dur","SP_Mag","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim","Peak_Tim_10","Peak_Tim_2","Peak_Tim_5","Peak_Dur_10","Peak_Dur_2","Peak_Dur_5","Peak_10","Peak_2","Peak_5","Peak_Fre_10","Peak_Fre_2","Peak_Fre_5","ReportingNode","Scenario"
"2005",94,281,0.73615,1.482,NA,NA,NA,0.268780869891701,109,1731.6667,172,160,0.75875,34.7125,12,120.5,133,120,7,34,16,2745.79486,1247.1206,1733.26598,2,7,6,"11101250",0
"2006",175,245,0.9418,1.70436,NA,NA,NA,0.0624701195219122,8,324.7832,237,228,0.33373,0.76035,9,NA,NA,NA,NA,NA,NA,2745.79486,1247.1206,1733.26598,NA,NA,NA,"11101250",0
"2007",205,216,0.8635,1.3521,2,2.59758719865269,6,0.224342311082302,11,415.7249,205,151,0.6566,1.1394,54,NA,NA,NA,NA,NA,NA,2745.79486,1247.1206,1733.26598,NA,NA,NA,"11101250",0
"2008",168,246,0.86855,51.0043700000003,4,237.611693494466,12,0.211675891813873,124,1935.1229,122,67,0.44822,1.9672,55,NA,116,118,NA,3,1,2745.79486,1247.1206,1733.26598,NA,3,1,"11101250",0
"2009",109,319,0.3875,0.7388,3,136.106691075313,23,0.24637781150821,177,901.2392,142,94,0.33018,0.6464,48,NA,NA,NA,NA,NA,NA,2745.79486,1247.1206,1733.26598,NA,NA,NA,"11101250",0
"2010",166,213,0.406,0.98235,4,381.792140879029,13,0.468380542554843,16,537.7405,197,135,0.29884,0.7528,62,NA,100,NA,NA,2,NA,2745.79486,1247.1206,1733.26598,NA,2,NA,"11101250",0
"2011",NA,323,NA,NA,3,87.0148242545991,5,0.316176228328575,104,194.5208,219,206,0.5914,48.0124,13,82,124.5,79,1,5,4,2745.79486,1247.1206,1733.26598,1,2,1,"11101250",0
"2012",NA,219,NA,NA,2,1011.93906040553,4,0.525939713629824,7,188.7124,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2745.79486,1247.1206,1733.26598,NA,NA,NA,"11101250",0
"2013",255,248,0.8839,1.56052,5,444.298547162255,10,0.189161508107687,24,58.8244,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2745.79486,1247.1206,1733.26598,NA,NA,NA,"11101250",0
"2014",200,217,0.8774,1.27492,4,7.8795381044964,8,0.353159851301115,63,1291.4079,154,17,0.84444,1.4353,137,NA,150,NA,NA,1,NA,2745.79486,1247.1206,1733.26598,NA,1,NA,"11101250",0
"2015",NA,304,NA,NA,2,3.3639974447186,6,0.584332688588008,112,52.8938,192,141,0.1789,0.7022,51,NA,NA,NA,NA,NA,NA,2745.79486,1247.1206,1733.26598,NA,NA,NA,"11101250",0
"2016",126,310,0.9815,2.6832,2,276.600160178616,4,0.143051154368493,88,448.8582,222,NA,NA,NA,NA,NA,96,NA,NA,1,NA,2745.79486,1247.1206,1733.26598,NA,1,NA,"11101250",0
"2017",132,322,1.4741,2.09666,2,9.90497123669164,16,0.13177439482969,179,1294.3377,143,73,0.26814,0.8793,70,NA,126,NA,NA,2,NA,2745.79486,1247.1206,1733.26598,NA,2,NA,"11101250",0
"2018",193,261,1.1689,1.71306,3,7.11599778903973,30,0.0901288678432896,85,281.702,176,88,1.13937,2.3833,88,NA,NA,NA,NA,NA,NA,2745.79486,1247.1206,1733.26598,NA,NA,NA,"11101250",0
"2011",NA,240,NA,NA,1,138.011266918389,3,0.111742090900294,65,2703.4234,175,115,57.03154,80.237,60,170,124.5,170,1,2,1,7457.8472,2814.8193,6110.75146,1,2,1,"F300",0
"2012",180,221,59.56695,62.81288,1,1584.71021595663,4,0.0758044126320089,22,2296.7361,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7457.8472,2814.8193,6110.75146,NA,NA,NA,"F300",0
"2013",229,269,64.1569,79.12936,3,135.83061461429,10,0.0024785549370956,48,718.1627,221,186,64.2132,75.3321,35,NA,NA,NA,NA,NA,NA,7457.8472,2814.8193,6110.75146,NA,NA,NA,"F300",0
"2014",125,288,57.32,60.2491,3,121.968528643552,8,0.0054492164601977,134,5822.4333,154,22,66.05968,69.6178,132,NA,150,NA,NA,1,NA,7457.8472,2814.8193,6110.75146,NA,1,NA,"F300",0
"2015",194,237,55.01325,64.5867,3,333.099849549367,31,0.0153288360712999,82,1337.0998,155,108,56.25458,65.38815,47,NA,72,NA,NA,1,NA,7457.8472,2814.8193,6110.75146,NA,1,NA,"F300",0
"2016",204,229,49.09655,51.39907,2,135.759194250475,4,0.0116677485505215,34,286.9067,195,130,44.99766,51.92055,65,NA,NA,NA,NA,NA,NA,7457.8472,2814.8193,6110.75146,NA,NA,NA,"F300",0
"2017",274,159,53.2593,59.39129,4,275.403301335535,16,0.0310278515133833,16,6182.831,143,76,61.38335,82.65195,67,NA,113,139,NA,3,1,7457.8472,2814.8193,6110.75146,NA,3,1,"F300",0
"2011",NA,241,NA,NA,1,387.288205947607,3,0.0442744894751115,66,4709.5456,175,114,157.98963,191.46955,61,NA,124.5,79,NA,5,1,20364.29922,7132.2474,16661.08954,NA,2,1,"F319",0
"2012",166,242,133.82025,142.0898,8,6018.46463067874,4,0.0168932395145409,30,1180.9023,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20364.29922,7132.2474,16661.08954,NA,NA,NA,"F319",0
"2013",151,350,113.6169,155.3549,3,1590.09770831299,10,0.0114444085265533,129,1604.1455,221,179,157.3589,181.3112,42,NA,NA,NA,NA,NA,NA,20364.29922,7132.2474,16661.08954,NA,NA,NA,"F319",0
"2014",201,214,122.3795,132.6174,2,235.118502566788,8,0.0153571492839837,60,11346.0297,154,19,135.57198,139.9433,135,NA,150,NA,NA,1,NA,20364.29922,7132.2474,16661.08954,NA,1,NA,"F319",0
"2015",194,239,125.78185,136.63141,4,1375.98156336406,31,0.0344763653978758,10,1524.1195,229,180,116.72531,130.52875,49,NA,72,NA,NA,1,NA,20364.29922,7132.2474,16661.08954,NA,1,NA,"F319",0
"2016",206,231,123.03005,185.2311,6,557.378727678896,4,0.0310142241316637,37,633.121,194,127,118.44544,134.0262,67,NA,NA,NA,NA,NA,NA,20364.29922,7132.2474,16661.08954,NA,NA,NA,"F319",0
"2017",209,228,149.0148,184.73862,3,755.726050743263,16,0.0234420125335671,85,13880.0345,143,72,128.66576,222.333,71,113,113,113,1,3,1,20364.29922,7132.2474,16661.08954,1,3,1,"F319",0
"2011",NA,243,NA,NA,1,378.202733672684,3,0.0527837937781328,68,3424.5697,175,114,151.23357,171.21485,61,170,82,170,1,3,1,11555.76716,5621.1507,9947.80294,1,3,1,"F34D",0
"2012",142,240,127.4634,134.88615,8,3581.28423543397,4,0.0194793405969608,28,804.1262,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11555.76716,5621.1507,9947.80294,NA,NA,NA,"F34D",0
"2013",198,302,111.33025,148.99969,3,923.826545688501,10,0.0126127436397714,81,1410.7205,221,205,115.93454,147.8024,16,NA,NA,NA,NA,NA,NA,11555.76716,5621.1507,9947.80294,NA,NA,NA,"F34D",0
"2014",202,213,122.0508,132.50289,2,228.31968740402,8,0.0149173963811833,59,9895.0539,154,20,135.37254,139.499,134,NA,150,NA,NA,1,NA,11555.76716,5621.1507,9947.80294,NA,1,NA,"F34D",0
"2015",195,238,125.6936,135.88198,4,1009.44722718973,31,0.0326393180581502,9,1310.9001,229,180,116.34747,129.08665,49,NA,72,NA,NA,1,NA,11555.76716,5621.1507,9947.80294,NA,1,NA,"F34D",0
"2016",203,232,122.5988,183.57116,6,507.439451983191,4,0.0221621851937711,37,549.68,195,128,117.12136,133.137,67,NA,NA,NA,NA,NA,NA,11555.76716,5621.1507,9947.80294,NA,NA,NA,"F34D",0
