"p10","p25","p50","p75","p90","metric","comid","result_type","source2","ReportingNode","Scenario"
184.8,193.5,208,222.5,231.2,"DS_Dur_WS",22514906,"observed","SUSTAIN_Junction_1","LA20","Aggressive_non_Infiltration_WRP0_UBF0"
205.3,214.75,225.5,233.25,237.3,"DS_Tim",22514906,"observed","SUSTAIN_Junction_1","LA20","Aggressive_non_Infiltration_WRP0_UBF0"
0,0,0,0,0,"DS_Mag_50",22514906,"observed","SUSTAIN_Junction_1","LA20","Aggressive_non_Infiltration_WRP0_UBF0"
0.000284000000000001,0.000710000000000003,0.00142000000000001,0.00213000000000001,0.00255600000000001,"DS_Mag_90",22514906,"observed","SUSTAIN_Junction_1","LA20","Aggressive_non_Infiltration_WRP0_UBF0"
1.6,2.5,3,3.5,4.4,"FA_Dur",22514906,"observed","SUSTAIN_Junction_1","LA20","Aggressive_non_Infiltration_WRP0_UBF0"
58.8414318778822,97.1365122706615,212.264776029232,380.263004215352,513.724020577719,"FA_Mag",22514906,"observed","SUSTAIN_Junction_1","LA20","Aggressive_non_Infiltration_WRP0_UBF0"
4.3,4.75,7.5,11.5,14.2,"FA_Tim",22514906,"observed","SUSTAIN_Junction_1","LA20","Aggressive_non_Infiltration_WRP0_UBF0"
0.884999097638543,0.958848109059861,0.99993766881363,1,1,"SP_ROC",22514906,"observed","SUSTAIN_Junction_1","LA20","Aggressive_non_Infiltration_WRP0_UBF0"
13.3,18.25,38.5,58.5,63,"SP_Dur",22514906,"observed","SUSTAIN_Junction_1","LA20","Aggressive_non_Infiltration_WRP0_UBF0"
501.0217,886.8949,2226.43475,3461.793775,3660.14149,"SP_Mag",22514906,"observed","SUSTAIN_Junction_1","LA20","Aggressive_non_Infiltration_WRP0_UBF0"
152.3,166.25,186.5,204.5,214.4,"SP_Tim",22514906,"observed","SUSTAIN_Junction_1","LA20","Aggressive_non_Infiltration_WRP0_UBF0"
81,93,113,150.5,173,"Wet_BFL_Dur",22514906,"observed","SUSTAIN_Junction_1","LA20","Aggressive_non_Infiltration_WRP0_UBF0"
0,0,0,0,0,"Wet_BFL_Mag_10",22514906,"observed","SUSTAIN_Junction_1","LA20","Aggressive_non_Infiltration_WRP0_UBF0"
6.9092e-07,1.7273e-06,3.4546e-06,0.1849017273,0.29584069092,"Wet_BFL_Mag_50",22514906,"observed","SUSTAIN_Junction_1","LA20","Aggressive_non_Infiltration_WRP0_UBF0"
38.6,47,61,65.5,68.2,"Wet_Tim",22514906,"observed","SUSTAIN_Junction_1","LA20","Aggressive_non_Infiltration_WRP0_UBF0"
170,170,170,170,170,"Peak_Tim_10",22514906,"observed","SUSTAIN_Junction_1","LA20","Aggressive_non_Infiltration_WRP0_UBF0"
114.15,115.875,118.75,121.625,123.35,"Peak_Tim_2",22514906,"observed","SUSTAIN_Junction_1","LA20","Aggressive_non_Infiltration_WRP0_UBF0"
142.1,146.75,154.5,162.25,166.9,"Peak_Tim_5",22514906,"observed","SUSTAIN_Junction_1","LA20","Aggressive_non_Infiltration_WRP0_UBF0"
1,1,1,1,1,"Peak_Dur_10",22514906,"observed","SUSTAIN_Junction_1","LA20","Aggressive_non_Infiltration_WRP0_UBF0"
