p10,p25,p50,p75,p90,metric,comid,result_type,source2,ReportingNode,Scenario
0.2567,0.3014,0.404675,0.5160875,0.6597,DS_Mag_50,22514974,observed,SUSTAIN_Junction_20,F300,Baseline_WRP0_UBF0
7.329575,9.9922375,11.41575,12.021275,14.663275,DS_Mag_50,22514974,observed,SUSTAIN_Junction_20,F300,Baseline_WRP0_UBF100
4.1865,5.701875,5.865525,6.3494625,7.7609,DS_Mag_50,22514974,observed,SUSTAIN_Junction_20,F300,Baseline_WRP0_UBF50
42.35235,43.503125,45.132425,46.8741125,47.7413,DS_Mag_50,22514974,observed,SUSTAIN_Junction_20,F300,Baseline_WRP100_UBF0
51.177525,53.6973875,56.166175,59.00475,61.86145,DS_Mag_50,22514974,observed,SUSTAIN_Junction_20,F300,Baseline_WRP100_UBF100
46.857025,47.42075,50.67955,53.545425,54.577,DS_Mag_50,22514974,observed,SUSTAIN_Junction_20,F300,Baseline_WRP100_UBF50
21.362425,21.891525,22.968825,24.026475,24.29035,DS_Mag_50,22514974,observed,SUSTAIN_Junction_20,F300,Baseline_WRP50_UBF0
29.055475,31.8422375,33.42525,35.012725,37.87965,DS_Mag_50,22514974,observed,SUSTAIN_Junction_20,F300,Baseline_WRP50_UBF100
25.5446,26.7439125,28.21825,29.73875,31.58845,DS_Mag_50,22514974,observed,SUSTAIN_Junction_20,F300,Baseline_WRP50_UBF50
0.09583,0.167085,0.2764,0.447545,0.87882,Wet_BFL_Mag_10,22514974,observed,SUSTAIN_Junction_20,F300,Baseline_WRP0_UBF0
6.782545,12.2755525,17.595655,19.1856025,19.94448,Wet_BFL_Mag_10,22514974,observed,SUSTAIN_Junction_20,F300,Baseline_WRP0_UBF100
3.78949,6.588745,8.979455,10.0766925,10.846895,Wet_BFL_Mag_10,22514974,observed,SUSTAIN_Junction_20,F300,Baseline_WRP0_UBF50
38.55709,40.718245,43.75484,44.378085,45.8459,Wet_BFL_Mag_10,22514974,observed,SUSTAIN_Junction_20,F300,Baseline_WRP100_UBF0
50.625675,56.448335,59.206975,63.5052375,65.135895,Wet_BFL_Mag_10,22514974,observed,SUSTAIN_Junction_20,F300,Baseline_WRP100_UBF100
45.36522,49.4624175,51.91063,54.10088,56.01062,Wet_BFL_Mag_10,22514974,observed,SUSTAIN_Junction_20,F300,Baseline_WRP100_UBF50
19.42126,20.52609,22.35415,22.72727,23.3241,Wet_BFL_Mag_10,22514974,observed,SUSTAIN_Junction_20,F300,Baseline_WRP50_UBF0
29.43847,35.278615,41.52043,42.175,42.291175,Wet_BFL_Mag_10,22514974,observed,SUSTAIN_Junction_20,F300,Baseline_WRP50_UBF100
25.71122,28.553175,30.60445,33.1627175,33.639325,Wet_BFL_Mag_10,22514974,observed,SUSTAIN_Junction_20,F300,Baseline_WRP50_UBF50
