"p10","p25","p50","p75","p90","metric","comid","result_type","source2","ReportingNode"
109,129,168,196.5,205,"DS_Dur_WS",22515826,"observed","SWMM
","11101250"
216.3,225.5,254.5,308.5,321.1,"DS_Tim",22515826,"observed","SWMM
","11101250"
0.406,0.799825,0.8774,0.96165,1.1689,"DS_Mag_50",22515826,"observed","SWMM
","11101250"
0.98235,1.31351,1.56052,1.90486,2.6832,"DS_Mag_90",22515826,"observed","SWMM
","11101250"
2,2,3,4,4,"FA_Dur",22515826,"observed","SWMM
","11101250"
3.73919747915071,7.68865302563224,111.560757664956,302.89815535372,438.047906533933,"FA_Mag",22515826,"observed","SWMM
","11101250"
4.1,5.75,9,13.75,22.3,"FA_Tim",22515826,"observed","SWMM
","11101250"
0.10262252593921,0.154578742803291,0.235360061295256,0.34391394555798,0.50867196230733,"SP_ROC",22515826,"observed","SWMM
","11101250"
8.9,18,86.5,111.25,161.1,"SP_Dur",22515826,"observed","SWMM
","11101250"
97.7908,216.3161,432.29155,1193.865725,1600.468,"SP_Mag",22515826,"observed","SWMM
","11101250"
142.3,158.5,194.5,217.25,223.4,"SP_Tim",22515826,"observed","SWMM
","11101250"
67,80.5,135,155.5,206,"Wet_BFL_Dur",22515826,"observed","SWMM
","11101250"
0.26814,0.31451,0.44822,0.707675,0.84444,"Wet_BFL_Mag_10",22515826,"observed","SWMM
","11101250"
0.7022,0.756575,1.1394,2.17525,34.7125,"Wet_BFL_Mag_50",22515826,"observed","SWMM
","11101250"
12,30.5,54,66,88,"Wet_Tim",22515826,"observed","SWMM
","11101250"
85.85,91.625,101.25,110.875,116.65,"Peak_Tim_10",22515826,"observed","SWMM
","11101250"
98.4,108,124.5,129.5,139.8,"Peak_Tim_2",22515826,"observed","SWMM
","11101250"
86.8,98.5,118,119,119.6,"Peak_Tim_5",22515826,"observed","SWMM
","11101250"
1.6,2.5,4,5.5,6.4,"Peak_Dur_10",22515826,"observed","SWMM
","11101250"
1,1.5,2,4,16.6,"Peak_Dur_2",22515826,"observed","SWMM
","11101250"
1.6,2.5,4,10,13.6,"Peak_Dur_5",22515826,"observed","SWMM
","11101250"
2745.79486,2745.79486,2745.79486,2745.79486,2745.79486,"Peak_10",22515826,"observed","SWMM
","11101250"
1247.1206,1247.1206,1247.1206,1247.1206,1247.1206,"Peak_2",22515826,"observed","SWMM
","11101250"
1733.26598,1733.26598,1733.26598,1733.26598,1733.26598,"Peak_5",22515826,"observed","SWMM
","11101250"
1.1,1.25,1.5,1.75,1.9,"Peak_Fre_10",22515826,"observed","SWMM
","11101250"
1,1.5,2,2.5,4.6,"Peak_Fre_2",22515826,"observed","SWMM
","11101250"
1,1,1,3.5,5,"Peak_Fre_5",22515826,"observed","SWMM
","11101250"
152.5,183.5,199,222.75,251.5,"DS_Dur_WS",22514974,"observed","SWMM
","F300"
