"Year","DS_Dur_WS","DS_Tim","DS_Mag_50","DS_Mag_90","FA_Dur","FA_Mag","FA_Tim","SP_ROC","SP_Dur","SP_Mag","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim","Peak_Tim_10","Peak_Tim_2","Peak_Tim_5","Peak_Dur_10","Peak_Dur_2","Peak_Dur_5","Peak_10","Peak_2","Peak_5","Peak_Fre_10","Peak_Fre_2","Peak_Fre_5","ReportingNode","Scenario"
"2011",NA,240,NA,NA,3,306.117995125148,5,1,66,3792.3733,174,113,0,3.4546e-06,61,170,124.5,170,1,2,1,3527.90968,1223.4371,3143.14446,1,2,1,"LA20","Aggressive_non_Infiltration_WRP0_UBF0"
"2012",179,220,0,0,1,602.698031485964,4,0.835766423357664,21,1101.2689,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3527.90968,1223.4371,3143.14446,NA,NA,NA,"LA20","Aggressive_non_Infiltration_WRP0_UBF0"
"2013",NA,231,NA,NA,3,33.311378282696,10,1,10,243.7729,221,188,0,0,33,NA,NA,NA,NA,NA,NA,3527.90968,1223.4371,3143.14446,NA,NA,NA,"LA20","Aggressive_non_Infiltration_WRP0_UBF0"
"2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LA20","Aggressive_non_Infiltration_WRP0_UBF0"
"2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LA20","Aggressive_non_Infiltration_WRP0_UBF0"
"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LA20","Aggressive_non_Infiltration_WRP0_UBF0"
"2017",237,199,0,0.00284000000000001,5,118.411556933317,16,0.99987533762726,56,3351.6006,143,73,0,0.3698,70,NA,113,139,NA,3,1,3527.90968,1223.4371,3143.14446,NA,3,1,"LA20","Aggressive_non_Infiltration_WRP0_UBF0"
"2011",NA,240,NA,NA,3,426.790280985205,5,1,66,6263.5736,174,113,0,7.2946e-06,61,170,124.5,170,1,2,1,5264.68442,1864.72,4426.20242,1,2,1,"LA20_2","Aggressive_non_Infiltration_WRP0_UBF0"
"2012",179,220,0,0,4,935.403633688665,4,0.824330655676535,21,1545.1572,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5264.68442,1864.72,4426.20242,NA,NA,NA,"LA20_2","Aggressive_non_Infiltration_WRP0_UBF0"
"2013",NA,231,NA,NA,3,58.0546454248406,10,1,10,421.6102,221,188,0,0,33,NA,NA,NA,NA,NA,NA,5264.68442,1864.72,4426.20242,NA,NA,NA,"LA20_2","Aggressive_non_Infiltration_WRP0_UBF0"
