PRISM Time Series Data
Location:  Lat: 33.7747   Lon: -118.2073   Elev: 16ft
Climate variable: ppt
Spatial resolution: 4km
Period: 1949-10 - 2019-09
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2020-Sep-09
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches)
1949-10,0.00
1949-11,0.89
1949-12,2.70
1950-01,2.60
1950-02,2.37
1950-03,0.59
1950-04,0.37
1950-05,0.09
1950-06,0.00
1950-07,0.00
1950-08,0.00
1950-09,0.11
1950-10,0.07
1950-11,1.08
1950-12,0.07
1951-01,2.32
1951-02,1.37
1951-03,0.62
1951-04,1.61
1951-05,0.08
1951-06,0.00
1951-07,0.00
1951-08,0.12
1951-09,0.00
1951-10,0.27
1951-11,0.90
1951-12,4.40
1952-01,6.97
1952-02,0.07
1952-03,4.79
1952-04,1.11
1952-05,0.00
1952-06,0.00
1952-07,0.00
1952-08,0.00
1952-09,0.06
1952-10,0.00
1952-11,3.01
1952-12,3.11
1953-01,1.22
1953-02,0.25
1953-03,0.50
1953-04,1.27
1953-05,0.04
1953-06,0.03
1953-07,0.00
1953-08,0.00
1953-09,0.00
1953-10,0.00
1953-11,1.15
1953-12,0.06
1954-01,4.59
1954-02,2.79
1954-03,3.22
1954-04,0.12
1954-05,0.00
1954-06,0.02
1954-07,0.00
1954-08,0.00
1954-09,0.00
1954-10,0.00
1954-11,1.38
1954-12,0.84
1955-01,3.68
1955-02,1.23
1955-03,0.30
1955-04,1.34
1955-05,1.32
1955-06,0.00
1955-07,0.00
1955-08,0.00
1955-09,0.00
1955-10,0.00
1955-11,1.22
1955-12,0.66
1956-01,7.34
1956-02,0.94
1956-03,0.00
1956-04,2.34
1956-05,0.36
1956-06,0.00
1956-07,0.00
1956-08,0.00
1956-09,0.00
1956-10,0.03
1956-11,0.00
1956-12,0.15
1957-01,3.66
1957-02,0.92
1957-03,1.13
1957-04,1.05
1957-05,0.70
1957-06,0.05
1957-07,0.00
1957-08,0.00
1957-09,0.00
1957-10,1.14
1957-11,0.76
1957-12,2.74
1958-01,1.75
1958-02,6.13
1958-03,4.81
1958-04,3.25
1958-05,0.03
1958-06,0.00
1958-07,0.00
1958-08,0.11
1958-09,0.10
1958-10,0.24
1958-11,0.00
1958-12,0.00
1959-01,0.99
1959-02,3.59
1959-03,0.00
1959-04,0.55
1959-05,0.00
1959-06,0.00
1959-07,0.00
1959-08,0.00
1959-09,0.02
1959-10,0.00
1959-11,0.05
1959-12,1.59
1960-01,2.60
1960-02,2.34
1960-03,1.01
1960-04,1.34
1960-05,0.07
1960-06,0.00
1960-07,0.00
1960-08,0.00
1960-09,0.00
1960-10,0.00
1960-11,1.95
1960-12,0.09
1961-01,1.13
1961-02,0.00
1961-03,0.45
1961-04,0.09
1961-05,0.00
1961-06,0.01
1961-07,0.00
1961-08,0.09
1961-09,0.03
1961-10,0.00
1961-11,1.64
1961-12,1.40
1962-01,2.35
1962-02,9.50
1962-03,1.36
1962-04,0.00
1962-05,0.13
1962-06,0.03
1962-07,0.00
1962-08,0.00
1962-09,0.00
1962-10,0.06
1962-11,0.00
1962-12,0.00
1963-01,0.00
1963-02,5.28
1963-03,2.50
1963-04,1.13
1963-05,0.00
1963-06,0.30
1963-07,0.00
1963-08,0.00
1963-09,1.56
1963-10,0.41
1963-11,2.96
1963-12,0.00
1964-01,0.76
1964-02,0.00
1964-03,1.23
1964-04,0.47
1964-05,0.04
1964-06,0.23
1964-07,0.00
1964-08,0.00
1964-09,0.00
1964-10,0.18
1964-11,1.27
1964-12,1.86
1965-01,0.41
1965-02,0.40
1965-03,1.09
1965-04,5.42
1965-05,0.00
1965-06,0.00
1965-07,0.00
1965-08,0.05
1965-09,0.24
1965-10,0.00
1965-11,7.67
1965-12,3.63
1966-01,1.22
1966-02,1.44
1966-03,0.46
1966-04,0.00
1966-05,0.05
1966-06,0.00
1966-07,0.00
1966-08,0.00
1966-09,0.07
1966-10,0.02
1966-11,1.80
1966-12,4.45
1967-01,3.40
1967-02,0.10
1967-03,1.10
1967-04,3.21
1967-05,0.02
1967-06,0.04
1967-07,0.00
1967-08,0.00
1967-09,0.55
1967-10,0.00
1967-11,4.88
1967-12,1.75
1968-01,0.50
1968-02,0.60
1968-03,2.67
1968-04,0.43
1968-05,0.00
1968-06,0.00
1968-07,0.00
1968-08,0.00
1968-09,0.00
1968-10,0.33
1968-11,0.38
1968-12,1.48
1969-01,11.56
1969-02,5.85
1969-03,0.66
1969-04,0.49
1969-05,0.04
1969-06,0.00
1969-07,0.03
1969-08,0.00
1969-09,0.00
1969-10,0.00
1969-11,1.19
1969-12,0.05
1970-01,1.91
1970-02,1.18
1970-03,1.89
1970-04,0.00
1970-05,0.00
1970-06,0.00
1970-07,0.00
1970-08,0.00
1970-09,0.00
1970-10,0.01
1970-11,3.65
1970-12,3.68
1971-01,0.61
1971-02,0.72
1971-03,0.22
1971-04,0.63
1971-05,0.36
1971-06,0.00
1971-07,0.00
1971-08,0.00
1971-09,0.00
1971-10,0.22
1971-11,0.22
1971-12,5.11
1972-01,0.00
1972-02,0.11
1972-03,0.00
1972-04,0.11
1972-05,0.03
1972-06,0.16
1972-07,0.00
1972-08,0.20
1972-09,0.15
1972-10,0.27
1972-11,3.80
1972-12,1.35
1973-01,2.97
1973-02,4.06
1973-03,2.89
1973-04,0.00
1973-05,0.00
1973-06,0.00
1973-07,0.00
1973-08,0.00
1973-09,0.00
1973-10,0.13
1973-11,1.92
1973-12,0.39
1974-01,5.49
1974-02,0.00
1974-03,3.08
1974-04,0.23
1974-05,0.04
1974-06,0.00
1974-07,0.00
1974-08,0.00
1974-09,0.00
1974-10,0.50
1974-11,0.04
1974-12,4.20
1975-01,0.10
1975-02,3.22
1975-03,2.97
1975-04,1.60
1975-05,0.00
1975-06,0.00
1975-07,0.00
1975-08,0.00
1975-09,0.00
1975-10,0.23
1975-11,0.16
1975-12,0.11
1976-01,0.00
1976-02,2.59
1976-03,0.89
1976-04,1.12
1976-05,0.00
1976-06,0.27
1976-07,0.00
1976-08,0.00
1976-09,1.97
1976-10,0.12
1976-11,0.84
1976-12,0.38
1977-01,3.20
1977-02,0.41
1977-03,1.25
1977-04,0.00
1977-05,2.49
1977-06,0.00
1977-07,0.00
1977-08,2.71
1977-09,0.00
1977-10,0.00
1977-11,0.01
1977-12,3.78
1978-01,7.40
1978-02,6.63
1978-03,6.93
1978-04,1.61
1978-05,0.00
1978-06,0.00
1978-07,0.00
1978-08,0.00
1978-09,0.91
1978-10,0.03
1978-11,2.00
1978-12,1.48
1979-01,4.45
1979-02,5.47
1979-03,4.19
1979-04,0.00
1979-05,0.00
1979-06,0.00
1979-07,0.00
1979-08,0.00
1979-09,0.00
1979-10,0.37
1979-11,0.32
1979-12,0.32
1980-01,7.61
1980-02,9.47
1980-03,3.07
1980-04,0.36
1980-05,0.09
1980-06,0.00
1980-07,0.00
1980-08,0.00
1980-09,0.00
1980-10,0.00
1980-11,0.00
1980-12,1.06
1981-01,2.17
1981-02,1.43
1981-03,3.72
1981-04,0.29
1981-05,0.00
1981-06,0.00
1981-07,0.00
1981-08,0.00
1981-09,0.00
1981-10,0.52
1981-11,2.24
1981-12,0.82
1982-01,1.75
1982-02,0.39
1982-03,3.24
1982-04,0.92
1982-05,0.12
1982-06,0.00
1982-07,0.00
1982-08,0.00
1982-09,0.64
1982-10,0.27
1982-11,2.38
1982-12,2.17
1983-01,2.42
1983-02,3.41
1983-03,9.13
1983-04,2.26
1983-05,0.45
1983-06,0.00
1983-07,0.00
1983-08,0.48
1983-09,0.20
1983-10,2.44
1983-11,2.90
1983-12,2.08
1984-01,0.38
1984-02,0.04
1984-03,0.12
1984-04,0.83
1984-05,0.00
1984-06,0.00
1984-07,0.00
1984-08,0.07
1984-09,0.02
1984-10,0.40
1984-11,1.69
1984-12,4.59
1985-01,1.02
1985-02,1.61
1985-03,0.86
1985-04,0.00
1985-05,0.19
1985-06,0.00
1985-07,0.00
1985-08,0.00
1985-09,0.11
1985-10,0.24
1985-11,3.68
1985-12,0.80
1986-01,1.43
1986-02,5.09
1986-03,2.80
1986-04,0.46
1986-05,0.00
1986-06,0.00
1986-07,0.17
1986-08,0.00
1986-09,1.38
1986-10,0.37
1986-11,1.00
1986-12,0.45
1987-01,2.06
1987-02,0.95
1987-03,0.77
1987-04,0.13
1987-05,0.00
1987-06,0.03
1987-07,0.09
1987-08,0.04
1987-09,0.00
1987-10,0.66
1987-11,1.82
1987-12,1.81
1988-01,1.48
1988-02,0.91
1988-03,0.30
1988-04,1.36
1988-05,0.00
1988-06,0.00
1988-07,0.00
1988-08,0.00
1988-09,0.00
1988-10,0.00
1988-11,0.77
1988-12,2.44
1989-01,0.74
1989-02,1.11
1989-03,0.97
1989-04,0.00
1989-05,0.00
1989-06,0.00
1989-07,0.00
1989-08,0.00
1989-09,0.28
1989-10,0.43
1989-11,0.17
1989-12,0.00
1990-01,1.34
1990-02,2.13
1990-03,0.00
1990-04,0.37
1990-05,0.92
1990-06,0.00
1990-07,0.00
1990-08,0.00
1990-09,0.00
1990-10,0.00
1990-11,0.22
1990-12,0.04
1991-01,1.55
1991-02,1.72
1991-03,6.37
1991-04,0.00
1991-05,0.00
1991-06,0.00
1991-07,0.11
1991-08,0.00
1991-09,0.07
1991-10,0.13
1991-11,0.01
1991-12,2.29
1992-01,1.63
1992-02,5.56
1992-03,5.18
1992-04,0.24
1992-05,0.00
1992-06,0.00
1992-07,0.16
1992-08,0.00
1992-09,0.00
1992-10,0.53
1992-11,0.00
1992-12,3.80
1993-01,8.91
1993-02,7.04
1993-03,1.82
1993-04,0.00
1993-05,0.00
1993-06,0.86
1993-07,0.00
1993-08,0.00
1993-09,0.00
1993-10,0.01
1993-11,0.61
1993-12,0.85
1994-01,0.36
1994-02,4.04
1994-03,1.28
1994-04,0.75
1994-05,0.16
1994-06,0.00
1994-07,0.00
1994-08,0.00
1994-09,0.00
1994-10,0.15
1994-11,0.65
1994-12,0.87
1995-01,13.59
1995-02,1.10
1995-03,5.35
1995-04,0.53
1995-05,0.30
1995-06,0.57
1995-07,0.06
1995-08,0.00
1995-09,0.00
1995-10,0.00
1995-11,0.03
1995-12,1.39
1996-01,1.45
1996-02,4.72
1996-03,1.69
1996-04,0.53
1996-05,0.00
1996-06,0.00
1996-07,0.00
1996-08,0.00
1996-09,0.00
1996-10,1.13
1996-11,2.33
1996-12,3.99
1997-01,4.94
1997-02,0.15
1997-03,0.00
1997-04,0.00
1997-05,0.00
1997-06,0.00
1997-07,0.00
1997-08,0.00
1997-09,0.44
1997-10,0.00
1997-11,1.95
1997-12,3.61
1998-01,1.93
1998-02,12.65
1998-03,3.36
1998-04,1.81
1998-05,1.97
1998-06,0.07
1998-07,0.00
1998-08,0.00
1998-09,0.06
1998-10,0.00
1998-11,1.18
1998-12,0.77
1999-01,1.16
1999-02,0.75
1999-03,1.71
1999-04,1.92
1999-05,0.00
1999-06,0.44
1999-07,0.02
1999-08,0.00
1999-09,0.02
1999-10,0.00
1999-11,0.25
1999-12,0.00
2000-01,0.70
2000-02,4.58
2000-03,1.70
2000-04,0.99
2000-05,0.01
2000-06,0.00
2000-07,0.00
2000-08,0.00
2000-09,0.03
2000-10,1.68
2000-11,0.15
2000-12,0.00
2001-01,4.27
2001-02,6.18
2001-03,1.98
2001-04,0.66
2001-05,0.03
2001-06,0.00
2001-07,0.03
2001-08,0.00
2001-09,0.00
2001-10,0.01
2001-11,1.21
2001-12,1.32
2002-01,0.55
2002-02,0.25
2002-03,0.24
2002-04,0.10
2002-05,0.14
2002-06,0.00
2002-07,0.00
2002-08,0.00
2002-09,0.00
2002-10,0.08
2002-11,2.17
2002-12,2.65
2003-01,0.00
2003-02,4.65
2003-03,2.64
2003-04,1.28
2003-05,1.25
2003-06,0.00
2003-07,0.00
2003-08,0.00
2003-09,0.00
2003-10,0.01
2003-11,0.90
2003-12,0.89
2004-01,0.68
2004-02,4.41
2004-03,0.94
2004-04,0.13
2004-05,0.00
2004-06,0.00
2004-07,0.00
2004-08,0.00
2004-09,0.00
2004-10,3.42
2004-11,0.53
2004-12,2.90
2005-01,5.98
2005-02,8.48
2005-03,1.07
2005-04,1.27
2005-05,0.19
2005-06,0.00
2005-07,0.00
2005-08,0.00
2005-09,0.32
2005-10,0.67
2005-11,0.19
2005-12,0.03
2006-01,1.92
2006-02,1.31
2006-03,2.74
2006-04,1.42
2006-05,0.61
2006-06,0.01
2006-07,0.00
2006-08,0.00
2006-09,0.00
2006-10,0.00
2006-11,0.09
2006-12,0.60
2007-01,0.16
2007-02,0.91
2007-03,0.02
2007-04,0.66
2007-05,0.00
2007-06,0.00
2007-07,0.00
2007-08,0.00
2007-09,0.35
2007-10,0.22
2007-11,0.00
2007-12,1.75
2008-01,5.21
2008-02,1.89
2008-03,0.00
2008-04,0.03
2008-05,0.14
2008-06,0.00
2008-07,0.00
2008-08,0.00
2008-09,0.00
2008-10,0.00
2008-11,1.31
2008-12,2.46
2009-01,0.34
2009-02,3.17
2009-03,0.21
2009-04,0.00
2009-05,0.00
2009-06,0.00
2009-07,0.00
2009-08,0.00
2009-09,0.00
2009-10,0.92
2009-11,0.00
2009-12,2.25
2010-01,4.95
2010-02,3.83
2010-03,0.32
2010-04,1.10
2010-05,0.03
2010-06,0.00
2010-07,0.00
2010-08,0.00
2010-09,0.00
2010-10,1.80
2010-11,0.85
2010-12,8.92
2011-01,0.78
2011-02,1.67
2011-03,2.40
2011-04,0.06
2011-05,0.46
2011-06,0.05
2011-07,0.00
2011-08,0.00
2011-09,0.00
2011-10,0.37
2011-11,1.52
2011-12,0.82
2012-01,1.11
2012-02,0.53
2012-03,2.07
2012-04,1.60
2012-05,0.05
2012-06,0.00
2012-07,0.07
2012-08,0.00
2012-09,0.00
2012-10,0.18
2012-11,0.61
2012-12,2.07
2013-01,1.12
2013-02,0.34
2013-03,0.67
2013-04,0.02
2013-05,0.32
2013-06,0.00
2013-07,0.00
2013-08,0.00
2013-09,0.00
2013-10,0.17
2013-11,0.55
2013-12,0.40
2014-01,0.00
2014-02,1.45
2014-03,1.18
2014-04,0.30
2014-05,0.00
2014-06,0.00
2014-07,0.02
2014-08,0.09
2014-09,0.00
2014-10,0.00
2014-11,0.44
2014-12,4.17
2015-01,1.10
2015-02,0.44
2015-03,0.78
2015-04,0.22
2015-05,0.83
2015-06,0.04
2015-07,0.76
2015-08,0.00
2015-09,1.00
2015-10,0.23
2015-11,0.06
2015-12,0.91
2016-01,1.97
2016-02,0.91
2016-03,1.57
2016-04,0.22
2016-05,0.27
2016-06,0.01
2016-07,0.00
2016-08,0.00
2016-09,0.00
2016-10,0.46
2016-11,1.24
2016-12,3.73
2017-01,8.14
2017-02,4.67
2017-03,0.20
2017-04,0.16
2017-05,0.29
2017-06,0.00
2017-07,0.00
2017-08,0.00
2017-09,0.14
2017-10,0.00
2017-11,0.14
2017-12,0.03
2018-01,1.52
2018-02,0.53
2018-03,1.80
2018-04,0.04
2018-05,0.07
2018-06,0.00
2018-07,0.00
2018-08,0.00
2018-09,0.00
2018-10,0.58
2018-11,1.29
2018-12,1.66
2019-01,4.94
2019-02,6.20
2019-03,1.97
2019-04,0.06
2019-05,0.76
2019-06,0.05
2019-07,0.00
2019-08,0.00
2019-09,0.00
