PRISM Time Series Data,
Location:  Lat: 33.7747   Lon: -118.2073   Elev: 16ft,
Climate variable: ppt,
Spatial resolution: 4km,
Period: 1950 - 2019,
Dataset: AN81m,
PRISM day definition: 24 hours ending at 1200 UTC on the day shown,
Grid Cell Interpolation: Off,
Time series generated: 2020-Sep-09,
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf,
Date,ppt (inches)
1950,7.36
1951,11.68
1952,19.12
1953,4.5
1954,12.96
1955,9.75
1956,11.17
1957,12.16
1958,16.43
1959,6.78
1960,9.4
1961,4.83
1962,13.43
1963,14.14
1964,6.04
1965,18.92
1966,9.51
1967,15.05
1968,6.39
1969,19.87
1970,12.32
1971,8.1
1972,6.19
1973,12.36
1974,13.58
1975,8.39
1976,8.17
1977,13.85
1978,26.99
1979,15.11
1980,21.65
1981,11.2
1982,11.87
1983,25.75
1984,8.13
1985,8.51
1986,13.15
1987,8.36
1988,7.27
1989,3.69
1990,5.01
1991,12.24
1992,17.1
1993,20.1
1994,8.25
1995,22.92
1996,15.84
1997,11.09
1998,23.8
1999,6.27
2000,9.83
2001,15.68
2002,6.17
2003,11.62
2004,13.01
2005,18.19
2006,8.69
2007,4.08
2008,11.03
2009,6.89
2010,21.8
2011,8.13
2012,8.3
2013,3.59
2014,7.65
2015,6.37
2016,10.38
2017,13.77
2018,7.49
2019,20.77
