scenario,dry_season,wet_season,spring
1,48.84212404,54.68421228,49.88919406
2,37.2535616,39.79031956,37.58140751
3,42.35048652,44.8866749,42.63778236
4,12.57703908,16.55309744,13.4544646
5,47.80821103,53.88108166,48.921845
6,27.41734684,31.65144269,28.23858642
7,39.86943946,46.10238488,41.08357702
8,23.56331903,28.90609233,24.68837592
9,34.39098449,38.524922,35.13411438
10,47.31694678,52.36398532,48.18053526
11,45.78434454,47.61817938,45.87244333
12,31.17306309,32.29024717,31.20001306
13,41.82569105,45.06023296,42.28900208
14,13.57123655,16.38804747,14.15319604
15,40.88937058,46.71367465,41.99611076
16,36.47807576,40.94223108,37.2864797
17,37.67387534,41.48895076,38.31328932
18,23.33883897,24.6349491,23.4718749
19,40.45748095,45.01348639,41.25680043
20,17.64040033,18.81241348,17.78836951
21,38.08887524,40.43416337,38.3636656
22,34.48949028,39.24179156,35.38305375
23,34.42948987,37.70440538,34.96128198
24,27.5148878,32.0084045,28.40074683
25,57.4185864,62.92372661,58.31726961
26,54.42236301,57.09325584,54.64669601
27,29.4263368,34.32282097,30.39500656
28,52.66082698,55.79778991,53.01313075
29,28.35151146,29.63364951,28.44276038
30,34.75194102,38.16121489,35.31314694
31,31.80218238,34.68978346,32.25921218
32,28.88558236,30.41526016,29.03117389
33,39.30164425,43.38339249,39.99444431
34,29.27110152,33.9644904,30.19012599
35,39.73598323,43.33541893,40.30590087
36,41.81918035,43.72875164,41.95619458
37,31.57997307,32.56612713,31.57119094
38,38.08136006,44.72517426,39.41140623
39,1.738394256,2.213034554,1.841014743
40,41.48889422,42.5616086,41.42415477
41,31.1439263,34.89701004,31.81760528
42,51.49700226,54.17563634,51.74870842
43,47.27612512,49.36320532,47.41304791
44,15.80944688,19.4085078,16.56932401
45,39.46763703,45.5549493,40.64971811
46,20.59862895,22.33190183,20.86144527
47,26.93240999,30.51804859,27.59822537
48,49.23591619,50.8525252,49.24305114
49,48.22693802,53.1353458,49.05303717
50,37.17631444,40.28132995,37.64502283
51,36.81367618,38.79023838,37.00549886
52,27.22321027,32.95271612,28.41358328
53,46.5570751,50.88641103,47.25081734
54,39.42759887,43.55183998,40.12670205
55,43.42254585,45.61932593,43.61858421
56,35.8836539,37.79242332,36.06951908
57,11.82768054,14.86756307,12.47987425
58,40.92483611,43.21478092,41.16158246
59,31.82375326,35.81861458,32.55219239
60,39.06072321,44.64749562,40.12261071
61,37.24775864,37.76509049,37.08016094
62,41.80609641,44.52659999,42.14443856
63,36.77491933,41.94389463,37.75270393
64,36.76254392,43.68000571,38.16916816
65,34.79231666,36.27739654,34.88262026
66,30.49935531,31.79698924,30.57704034
67,48.22800766,50.98680569,48.52418304
68,27.77993859,33.10636128,28.86686806
69,24.47326367,26.65527473,24.81432785
70,39.28012804,40.05655513,39.15958613
71,46.84412555,51.23977221,47.5538312
72,55.01129414,58.65337704,55.4702875
73,23.49726969,27.31566432,24.2487554
74,30.08376216,34.15548269,30.84547578
75,15.3275629,17.02228017,15.61995982
76,8.194586403,10.16142255,8.611096936
77,44.12050265,46.94395492,44.46418865
78,47.83633556,49.71037124,47.91775701
79,21.84880821,28.59425275,23.3310298
80,15.12735261,17.17946643,15.50898782
81,16.36948261,18.45134513,16.74964172
82,47.88290706,53.07466157,48.78033226
83,9.769898877,12.53438026,10.3715558
84,24.23396215,29.6903202,25.38235843
85,32.81023932,36.44341561,33.44351954
86,12.33964802,15.80857044,13.0937336
87,41.5317043,45.45805349,42.16687039
88,29.56905963,33.50627044,30.30102633
89,55.95536944,59.10044525,56.28429802
90,17.55822267,20.82757964,18.22068476
91,21.79378525,27.00305862,22.90210744
92,37.22112214,40.11041919,37.63733055
93,18.08284491,20.24282368,18.47058106
94,37.83483862,43.72089968,38.97965662
95,47.55777965,52.63347807,48.42802748
96,19.86314198,26.01797343,21.21599107
97,18.48234234,21.34410005,19.03778933
98,26.44560536,27.62149871,26.52537822
99,41.19487405,43.50501164,41.43611099
100,22.60245017,24.46600346,22.88152209
101,51.44957675,55.34148782,51.99803899
102,23.319589,29.44736796,24.63943422
103,31.11747078,34.03176547,31.58768307
104,48.74895055,51.30421929,48.98874298
105,28.26139094,29.20947706,28.27119858
106,24.68196103,29.01753117,25.54932253
107,34.76282796,35.74892447,34.72953031
108,19.45052379,22.19604193,19.96899655
109,32.09590954,35.19620754,32.60400071
110,33.68360092,35.30231804,33.81484671
111,15.97218918,19.67085326,16.75236924
112,8.110069623,9.893273586,8.481220347
113,58.31110226,64.37458247,59.33934567
114,52.22266087,54.86220155,52.45612562
115,27.93430354,33.30443287,29.03259392
116,31.05242642,35.16928423,31.81592798
117,31.63736798,35.47729461,32.32940469
118,37.08531725,38.68788999,37.1838959
119,8.997112736,11.49636985,9.537213699
120,31.59511234,32.5501571,31.58050526
121,60.95390753,66.20637216,61.76171188
122,27.03752873,32.40634921,28.14309483
123,24.15489077,27.23492857,24.72074118
124,43.50212551,48.81841532,44.46250939
125,32.36773949,37.33872673,33.33137869
126,25.63794766,30.18459487,26.55206133
127,39.46566098,44.92005926,40.49228356
128,39.26490165,43.26039766,39.93656422
129,2.378428955,2.837114146,2.471656206
130,17.39742671,21.07256848,18.16279088
131,36.80464226,40.97583417,37.53824162
132,36.67748515,39.34152539,37.04053915
133,46.90122288,53.6205078,48.17930234
134,28.79470774,32.16660104,29.39605924
135,40.19684732,43.98260221,40.80971328
136,18.95742688,22.75022314,19.73972069
137,47.36352527,50.77989523,47.82842508
138,24.31378689,25.02174945,24.29585967
139,31.12615132,32.97325385,31.33170866
140,33.69943928,37.70892277,34.41586155
141,36.92248077,37.95514304,36.88275876
142,36.92805277,42.68982781,38.05083971
143,32.14113246,32.9883777,32.09395594
144,29.01066662,35.50434425,30.37542254
145,54.87480145,59.45619954,55.56545111
146,36.8329911,40.0841849,37.33924882
147,24.14028092,25.66908777,24.32281154
148,21.35664603,24.05669607,21.84983625
149,50.53972798,53.66421016,50.90612341
150,25.65077008,30.71898445,26.69420309
151,47.34195394,52.37505968,48.20267786
152,36.0228687,42.56301253,37.34292618
153,20.14926572,22.99676284,20.68880553
154,11.19339782,14.01763674,11.79805795
155,36.44575414,40.2488714,37.09162021
